grupo;Z-score Geral;Z-score_Icms;Z-score_Empresas;Z-score_Empregos;_QuocienteLocacional;_EmpresasRS;;;;
COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS;2.917.754.741.263.000;63.440.295.060.772.900;22.684.430.248.560.200;1.777.156.064.656.520;12.050.975.384.161.400;122198;;;;
OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS;19.122.482.094.850.300;-0.17768213290812906;16.417.299.417.441.600;22.547.709.818.542.700;11.511.504.625.368.500;88440;;;;
OUTROS SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO;16.193.195.715.279.600;-0.18004103098352178;9.886.732.996.259.710;2.316.567.536.652.110;16.146.222.799.749.300;53263;;;;
RESTAURANTES E OUTROS SERVIÇOS DE ALIMENTAÇÃO E BEBIDAS;13.057.663.940.107.400;12.842.252.594.244.200;12.245.586.137.446.700;12.824.583.812.485.900;0.9605390198755351;65969;;;;
TRANSPORTE RODOVIÁRIO DE CARGA;12.506.763.988.944.200;3.827.901.173.430.690;8.785.464.553.514.410;18.218.447.311.261.100;12.118.471.574.533.600;47331;;;;
MANUTENÇÃO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES;11.982.444.009.457.200;-0.14259342207082226;7.914.214.924.080.210;3.226.386.287.289.700;1.473.453.959.339.400;42638;;;;
COMÉRCIO VAREJISTA NÃO ESPECIALIZADO;1.174.962.939.680.220;10.600.446.345.575.700;7.133.747.538.156.200;3.276.036.922.028.420;11.729.582.476.198.300;38434;;;;
PUBLICIDADE;922.659.615.599.313;-0.18238140152084029;8.356.244.621.008.150;12.181.066.713.685.000;10.897.968.783.700.800;45019;;;;
OUTRAS ATIVIDADES DE ENSINO;871.449.351.593.284;-0.18076370635741193;812.863.924.157.361;45.867.778.129.094.000;1.015.867.862.541.140;43793;;;;
COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO;;;;;;;;;;
ADMINISTRAÇÃO DO ESTADO E DA POLÍTICA ECONÔMICA E SOCIAL;8.636.709.264.686.270;-0.1856769318090135;-0.14768934811361054;8.640.042.927.485.500;;;;;;
INSTALAÇÕES ELÉTRICAS; HIDRÁULICAS E OUTRAS INSTALAÇÕES EM CONSTRUÇÕES;8.063.184.227.356.690;-0.12384258177074153;5.825.295.079.547.160;3.599.550.746.261.890;13.225.883.793.593.300;31386;;;
COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS; BEBIDAS E FUMO;7.493.287.362.487.680;1.151.805.344.571.040;7.914.957.519.119.150;55.685.841.291.360.400;0.8749144741965763;42642;;;
OBRAS DE ACABAMENTO;7.259.238.194.557.540;-0.179588013146313;4.702.305.731.912.920;15.567.951.576.640.000;15.110.362.796.491.500;25337;;;;
FABRICAÇÃO DE CALÇADOS;6.725.807.937.793.780;1.474.477.401.002.600;9.087.589.754.973.170;15.795.805.533.169.200;5.646.692.631.188.190;4903;;;;
SERVIÇOS DOMÉSTICOS;6.032.732.951.764.420;-0.1856769318090135;38.754.261.560.552.700;0.120981177349747;15.568.300.533.560.600;20883;;;;
REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO; EXCETO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;572.283.500.799.807;-0.02192211832774915;3.547.756.095.123.810;7.291.549.834.066.880;15.925.950.317.177.800;19118;;;
SERVIÇOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO;568.915.660.710.672;-0.1784821917470226;6.271.223.400.429.520;4.910.721.858.060.150;0.8291634520406377;33788;;;;
COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO;5.650.278.110.807.970;27.528.749.433.617.200;45.736.511.414.168.800;979.330.017.713.958;1.015.254.377.757.780;24644;;;;
FABRICAÇÃO DE OUTROS PRODUTOS ALIMENTÍCIOS;5.211.615.487.429.190;12.964.865.531.486.800;36.576.601.608.866.600;6.641.459.052.433.180;12.397.282.735.953.100;19710;;;;
COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS; PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS; ÓPTICOS E ORTOPÉDICOS;4.886.689.010.108.690;16.267.491.653.106.200;4.284.410.373.750.470;11.232.617.828.887.000;0.8746033663172911;23086;;
COMÉRCIO DE PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES;43.212.848.339.187.900;27.638.871.839.378.100;3.159.193.240.999.420;61.260.541.024.175.600;1.165.183.726.043.020;17025;;;;
SERVIÇOS DE CATERING; BUFÊ E OUTROS SERVIÇOS DE COMIDA PREPARADA;3.962.350.735.771.790;0.18864863610303118;41.564.983.782.933.700;2.576.329.896.819.850;0.8908535316809475;22397;;;
FABRICAÇÃO DE MÓVEIS;3.690.472.931.417.850;15.520.691.585.887.700;19.500.628.688.483.500;817.488.093.148.682;14.653.189.865.467.300;10512;;;;
INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS;35.808.911.857.895.400;-0.18498151613996386;23.662.873.881.731.900;23.549.464.496.318.200;14.145.561.408.632.900;12754;;;;
ATIVIDADES AUXILIARES DOS TRANSPORTES TERRESTRES;3.477.730.597.010.870;-0.18171508806748066;3.125.405.166.727.730;16.561.033.053.742.000;10.603.224.991.861.700;16843;;;;
ATIVIDADES DE ASSISTÊNCIA A IDOSOS; DEFICIENTES FÍSICOS; IMUNODEPRIMIDOS E CONVALESCENTES; E DE INFRAESTRUTURA E APOIO A PACIENTES PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES;3.464.168.471.190.390;-0.18567106047683427;22.920.278.842.793.800;16.910.129.380.845.600;14.384.309.678.777.100;12354;
ATIVIDADES DE ATENÇÃO AMBULATORIAL EXECUTADAS POR MÉDICOS E ODONTÓLOGOS;3.406.246.474.454.990;-0.18131292167476895;3.299.543.703.358.730;5.057.949.439.490.780;0.8795957625196275;17781;;;;
TRANSPORTE RODOVIÁRIO DE PASSAGEIROS;3.083.990.511.358.160;0.00942180346825083;2.720.505.221.746.700;6.929.626.144.806.240;0.8788564931728946;14662;;;;
SERVIÇOS DE ARQUITETURA E ENGENHARIA E ATIVIDADES TÉCNICAS RELACIONADAS;29.974.003.558.423.400;-0.14204811676734264;23.360.266.403.364.600;2.314.832.896.517.430;11.846.344.127.991.900;12591;;;;
ATIVIDADES DE ATENDIMENTO HOSPITALAR;2.951.880.039.119.030;-0.17461348386374223;4.416.666.960.052.120;26.316.831.610.013.100;0.7289275280845697;2387;;;;
CONSTRUÇÃO DE EDIFÍCIOS;2.900.654.902.177.850;-0.16643721567340417;1.925.742.881.323.130;7.954.364.804.366.120;1.094.062.356.055.750;10381;;;;
ATIVIDADES DE MALOTE E DE ENTREGA;28.369.353.024.058.600;-0.17962052856528157;29.364.147.293.179.700;30.351.766.036.055.100;0.9563975121142894;15825;;;;
ATIVIDADES JURÍDICAS;27.945.618.679.956.700;-0.1856769318090135;2.068.506.777.558.990;3.403.970.071.077.160;118.734.038.333.892;11150;;;;
FORJARIA; ESTAMPARIA; METALURGIA DO PÓ E SERVIÇOS DE TRATAMENTO DE METAIS;2.786.755.971.818.580;0.3340638340438947;1.381.606.366.541.190;18.584.057.110.808.000;1.880.112.038.621.390;7450;;
CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;2.674.718.767.313.570;0.36853500229415753;28.484.172.172.038;3.645.735.539.847.640;0.8097338582899183;15351;;;;
COMÉRCIO ATACADISTA ESPECIALIZADO EM PRODUTOS ALIMENTÍCIOS; BEBIDAS E FUMO;2.574.011.861.760.150;1.095.495.252.022.930;12.936.088.544.270.200;6.672.032.084.806.850;13.893.373.734.468.000;6976;;;
ATIVIDADES DE ORGANIZAÇÃO DE EVENTOS; EXCETO CULTURAIS E ESPORTIVOS;2.568.392.817.936.580;-0.1832026341912913;2.478.047.941.533.390;31.284.135.108.443.500;1.024.572.877.149.010;13356;;;
ATIVIDADES IMOBILIÁRIAS POR CONTRATO OU COMISSÃO;2.560.990.796.637.490;-0.18543657406309602;17.543.890.760.881.500;23.018.230.955.073.600;13.296.154.682.111.000;9458;;;;
MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS;25.225.601.727.667.000;-0.047014475054318154;1.777.038.224.775.760;20.977.860.496.660.900;1.301.745.612.614.790;9580;;;;
COMÉRCIO DE VEÍCULOS AUTOMOTORES;25.114.811.863.230.600;2.242.523.982.296.010;12.160.076.728.579.800;32.001.498.552.527.200;17.837.395.350.285.300;6558;;;;
ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;2.483.035.714.391.140;-0.16375895683249544;19.268.567.738.815.300;7.453.487.465.478.410;0.9026745428036462;10387;;;;
INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS;2.468.740.612.620.800;-0.1576028626899473;14.701.608.249.345.600;5.895.164.525.652.660;16.402.049.048.603.200;7927;;;;
ATIVIDADES PAISAGÍSTICAS;2.316.554.213.535.640;-0.18431434121946882;1.342.434.478.237.200;26.904.168.768.386.500;17.069.683.662.985.800;7239;;;;
REPARAÇÃO E MANUTENÇÃO DE OBJETOS E EQUIPAMENTOS PESSOAIS E DOMÉSTICOS;22.758.259.815.766.800;-0.1626351541108088;16.543.243.945.912.300;4.416.383.810.841.320;13.499.701.160.854.800;8919;;;;
EDIÇÃO DE LIVROS; JORNAIS; REVISTAS E OUTRAS ATIVIDADES DE EDIÇÃO;22.419.548.014.573.400;-0.1770223896064105;19.990.741.414.182.700;3.108.898.809.329.250;11.068.304.028.435.500;10776;;
OUTRAS ATIVIDADES DE SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS;2.197.379.700.264.230;-0.15463958047313395;1.823.821.712.228.860;47.142.738.628.080.900;0.947186174067972;9832;;;;
COMÉRCIO VAREJISTA DE ARTIGOS CULTURAIS; RECREATIVOS E ESPORTIVOS;21.879.540.909.678.900;0.9794114339464541;19.871.926.207.952.600;22.469.651.012.482.300;0.9830267313099399;10712;;;
ATIVIDADES DE CONTABILIDADE; CONSULTORIA E AUDITORIA CONTÁBIL E TRIBUTÁRIA;21.781.249.974.669.700;-0.18563895219734108;13.832.772.053.788.000;45.486.157.299.465.200;12.471.251.657.196.700;7459;;;
